emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,label,timestamp
126,125,125,126,125,125,125,125,0,1764984219.2758443
126,125,125,125,125,125,125,125,0,1764984219.275847
126,125,125,125,124,125,125,125,0,1764984219.3162544
126,124,125,125,123,125,124,125,0,1764984219.3162582
126,124,125,125,123,125,124,125,0,1764984219.3162608
126,124,125,124,123,125,124,125,0,1764984219.3162632
126,124,125,124,123,125,124,125,0,1764984219.3162658
127,125,125,125,123,125,125,126,0,1764984219.316268
127,125,125,125,124,125,125,126,0,1764984219.3162704
127,125,125,125,124,125,125,126,0,1764984219.3162756
127,125,125,125,124,125,125,126,0,1764984219.316278
126,125,125,125,124,125,125,126,0,1764984219.3162806
126,125,125,125,125,125,125,125,0,1764984219.3162825
126,125,124,125,125,125,125,125,0,1764984219.316285
126,125,124,125,125,125,124,125,0,1764984219.3162873
126,125,124,125,125,125,124,124,0,1764984219.3162892
126,124,124,124,125,125,125,124,0,1764984219.3162916
126,124,125,124,125,125,124,124,0,1764984219.3162942
126,125,125,124,125,125,125,125,0,1764984219.3365433
127,125,125,124,124,125,125,125,0,1764984219.3365464
127,125,125,124,125,125,125,125,0,1764984219.3365488
126,125,125,125,124,125,125,125,0,1764984219.3365557
126,125,125,125,124,125,125,125,0,1764984219.336558
126,125,125,125,123,125,125,125,0,1764984219.3365605
126,125,125,124,123,125,125,125,0,1764984219.3365626
126,125,125,124,123,125,125,125,0,1764984219.3365648
126,125,125,124,123,125,125,125,0,1764984219.336567
126,125,125,124,124,125,125,125,0,1764984219.3365693
126,125,125,124,124,125,124,125,0,1764984219.3365715
126,125,125,125,124,125,125,125,0,1764984219.3365736
126,125,125,124,123,125,125,125,0,1764984219.336576
126,125,125,125,123,125,125,125,0,1764984219.3365786
126,125,125,125,123,125,125,125,0,1764984219.3365805
126,125,125,125,124,125,125,125,0,1764984219.3365831
126,125,125,125,124,125,125,125,0,1764984219.387034
126,125,125,125,125,125,125,125,0,1764984219.3870387
126,125,125,125,124,125,124,125,0,1764984219.3870416
126,125,125,125,124,125,125,125,0,1764984219.3870444
126,125,125,125,124,125,125,125,0,1764984219.3870466
126,125,125,125,124,125,125,125,0,1764984219.3870492
126,125,125,125,125,125,125,125,0,1764984219.3870516
126,125,125,125,126,125,125,125,0,1764984219.3870537
127,125,125,125,127,125,125,125,0,1764984219.3870564
126,125,125,125,127,125,125,125,0,1764984219.3870587
126,125,125,125,126,125,125,125,0,1764984219.3870609
126,125,125,124,125,125,124,125,0,1764984219.3870633
126,125,125,125,124,125,124,125,0,1764984219.3870656
126,125,125,125,123,125,124,125,0,1764984219.3870678
126,125,125,125,123,125,124,125,0,1764984219.38707
126,125,125,125,123,125,124,125,0,1764984219.3870778
127,125,125,125,123,125,125,125,0,1764984219.4072576
127,125,125,125,122,125,125,125,0,1764984219.4072604
127,125,125,125,123,125,125,125,0,1764984219.407263
127,125,125,124,123,125,125,125,0,1764984219.407269
127,125,125,124,123,125,125,125,0,1764984219.4072714
127,125,125,124,124,125,125,125,0,1764984219.4072738
126,125,125,124,125,125,124,125,0,1764984219.4072764
126,125,125,124,126,125,125,125,0,1764984219.4072783
126,125,125,125,126,125,125,125,0,1764984219.4072807
126,125,125,125,125,125,125,125,0,1764984219.4072835
126,125,125,125,125,125,125,125,0,1764984219.4072857
126,125,125,125,125,125,125,125,0,1764984219.4072878
126,125,125,125,124,125,125,125,0,1764984219.4072902
126,125,125,125,124,125,125,125,0,1764984219.4072924
126,125,125,125,125,125,125,125,0,1764984219.4073002
126,125,125,125,125,125,125,125,0,1764984219.407303
126,125,125,125,125,125,125,125,0,1764984219.457815
126,125,125,125,125,124,124,124,0,1764984219.4578197
126,125,124,125,126,124,124,124,0,1764984219.4578216
126,125,124,124,126,124,124,124,0,1764984219.4578238
126,124,124,124,126,124,124,124,0,1764984219.4578254
126,124,125,124,125,125,125,125,0,1764984219.4578273
126,125,125,124,125,125,125,125,0,1764984219.4578345
126,125,125,124,124,125,125,125,0,1764984219.4578364
127,125,125,125,124,125,125,125,0,1764984219.457838
127,125,125,125,124,125,125,125,0,1764984219.45784
127,125,125,125,124,125,125,125,0,1764984219.4578416
126,125,125,125,124,125,124,125,0,1764984219.4578433
126,125,124,125,123,124,124,124,0,1764984219.457845
126,125,124,125,123,124,124,124,0,1764984219.457847
126,125,124,125,123,124,124,124,0,1764984219.4578488
126,125,124,125,123,125,124,124,0,1764984219.457851
126,125,125,125,123,125,125,125,0,1764984219.4780536
127,125,125,125,124,125,125,125,0,1764984219.4780583
126,125,125,125,125,125,125,125,0,1764984219.4780607
126,125,125,125,125,125,125,125,0,1764984219.4780636
126,125,125,125,125,125,125,125,0,1764984219.478066
126,125,125,125,124,125,125,125,0,1764984219.4780686
126,125,125,125,123,125,125,125,0,1764984219.478076
126,125,125,124,123,125,125,125,0,1764984219.4780784
126,125,125,124,123,125,125,125,0,1764984219.4780807
126,125,125,124,122,125,125,125,0,1764984219.4780831
126,125,125,124,123,125,125,125,0,1764984219.4780855
126,125,125,124,123,125,125,125,0,1764984219.478088
127,125,125,125,123,125,125,125,0,1764984219.4780903
127,125,125,125,124,125,125,125,0,1764984219.4780924
127,125,125,125,125,125,125,125,0,1764984219.4780948
127,125,125,125,127,125,125,125,0,1764984219.4781015
127,125,125,125,127,125,125,125,0,1764984219.4982996
126,125,125,125,128,124,125,125,0,1764984219.4983034
126,125,125,125,127,124,125,125,0,1764984219.498306
126,125,125,125,125,124,125,125,0,1764984219.4983084
126,125,125,124,123,124,125,125,0,1764984219.4983106
126,125,125,124,122,124,124,125,0,1764984219.498313
126,125,125,125,122,125,125,125,0,1764984219.4983153
126,125,125,125,122,125,125,125,0,1764984219.4983172
126,125,125,125,123,125,125,125,0,1764984219.4983196
126,125,125,125,124,125,125,126,0,1764984219.498322
126,125,125,125,125,126,125,125,0,1764984219.4983263
126,125,125,125,125,125,125,125,0,1764984219.498329
126,125,125,125,124,125,125,125,0,1764984219.4983346
126,125,125,125,125,125,125,125,0,1764984219.4983373
126,125,125,125,125,125,125,125,0,1764984219.4983397
126,125,125,125,124,125,125,125,0,1764984219.498343
126,125,125,125,125,125,124,125,0,1764984219.5487428
126,125,125,125,125,125,125,125,0,1764984219.5487466
126,125,125,125,125,125,125,125,0,1764984219.5487487
126,125,125,125,125,125,125,125,0,1764984219.5487576
126,125,125,125,125,125,125,125,0,1764984219.5487595
127,125,125,125,124,125,125,125,0,1764984219.5487661
126,125,125,125,124,125,125,125,0,1764984219.5487685
126,124,124,125,123,124,124,125,0,1764984219.5487711
126,124,124,125,124,124,125,125,0,1764984219.5487733
126,124,125,125,124,124,124,125,0,1764984219.5487757
126,124,125,125,125,124,124,125,0,1764984219.5487797
126,125,125,125,125,125,125,125,0,1764984219.5487819
127,125,125,125,126,125,125,125,0,1764984219.548784
127,125,125,125,125,125,125,125,0,1764984219.5487864
127,125,125,125,125,125,125,125,0,1764984219.5487888
127,125,125,125,123,125,125,125,0,1764984219.5487914
127,125,125,125,123,125,125,125,0,1764984219.5689657
126,125,125,125,123,125,125,125,0,1764984219.5689688
126,125,125,125,123,124,125,125,0,1764984219.568971
126,125,125,125,124,124,125,125,0,1764984219.5689733
126,125,125,125,125,125,125,125,0,1764984219.5689757
126,125,125,124,124,125,124,125,0,1764984219.5689778
127,125,125,124,124,125,125,125,0,1764984219.5689802
127,125,125,124,125,125,125,125,0,1764984219.5689824
127,125,125,124,124,125,125,125,0,1764984219.5689845
127,125,125,124,124,125,125,125,0,1764984219.568992
127,125,125,124,123,125,125,125,0,1764984219.5689945
127,125,125,125,123,125,125,125,0,1764984219.5689967
126,125,125,124,123,125,125,125,0,1764984219.5689988
126,125,124,125,123,125,125,125,0,1764984219.5690012
126,125,125,125,123,125,125,125,0,1764984219.5690036
126,125,125,125,124,125,125,125,0,1764984219.5690064
126,125,125,125,125,125,125,125,0,1764984219.6093333
127,125,125,125,125,125,125,125,0,1764984219.609337
127,125,125,125,125,125,125,125,0,1764984219.6093397
127,125,125,125,125,125,125,125,0,1764984219.6093419
127,125,125,125,126,125,125,125,0,1764984219.6093442
127,125,125,125,125,125,125,125,0,1764984219.6093466
127,125,125,125,125,125,125,125,0,1764984219.6093485
127,125,125,125,126,125,125,125,0,1764984219.609351
127,125,125,125,125,125,125,125,0,1764984219.609353
127,125,125,125,125,125,125,125,0,1764984219.6093552
127,125,125,125,126,125,125,125,0,1764984219.6093574
127,125,125,125,127,125,125,125,0,1764984219.6093595
127,125,125,125,127,125,125,125,0,1764984219.6093616
127,125,125,125,126,125,125,125,0,1764984219.609364
126,125,125,125,124,125,125,125,0,1764984219.609366
126,125,125,125,122,125,125,125,0,1764984219.6093729
126,125,125,125,122,125,125,125,0,1764984219.6294978
126,125,125,125,121,124,125,125,0,1764984219.6295009
126,124,125,125,122,124,125,125,0,1764984219.6295028
126,124,125,125,123,125,125,125,0,1764984219.6295044
126,124,125,125,124,125,124,125,0,1764984219.6295078
126,125,125,125,125,125,124,125,0,1764984219.6295102
126,125,125,125,125,125,125,125,0,1764984219.6295123
126,125,125,125,126,125,125,125,0,1764984219.6295147
126,125,125,125,126,125,125,125,0,1764984219.6295168
126,125,125,125,125,125,125,125,0,1764984219.629519
126,125,125,125,124,125,125,125,0,1764984219.6295216
126,125,125,125,125,125,124,125,0,1764984219.6295815
126,125,124,125,124,125,124,125,0,1764984219.6295881
126,125,124,125,124,125,124,125,0,1764984219.6295905
126,125,124,125,124,125,124,125,0,1764984219.6396685
126,125,124,124,125,125,124,125,0,1764984219.6396723
126,125,125,125,124,125,125,125,0,1764984219.680045
127,125,125,125,124,125,125,125,0,1764984219.6800482
127,125,125,125,124,125,125,125,0,1764984219.6800504
127,125,125,125,125,125,125,125,0,1764984219.6800563
127,125,125,125,125,125,125,125,0,1764984219.6800587
127,125,125,125,125,125,125,125,0,1764984219.680061
126,125,125,125,125,125,124,125,0,1764984219.6800635
126,125,125,124,124,125,124,125,0,1764984219.6800659
126,125,124,124,123,125,124,125,0,1764984219.6800683
126,125,125,124,124,125,124,125,0,1764984219.6800704
126,125,125,124,124,125,124,125,0,1764984219.6800728
126,125,125,124,124,125,125,125,0,1764984219.680075
126,125,125,125,126,125,125,125,0,1764984219.6800773
127,125,126,125,126,125,125,125,0,1764984219.6800797
127,125,126,125,125,125,125,125,0,1764984219.6800816
127,125,126,125,124,125,125,125,0,1764984219.6800842
126,125,126,125,124,125,125,125,0,1764984219.7001975
126,125,125,125,123,125,124,125,0,1764984219.7002
126,125,125,125,123,125,125,125,0,1764984219.7002025
126,125,125,125,124,125,125,125,0,1764984219.7002046
126,125,125,125,124,125,125,125,0,1764984219.7002068
126,125,125,125,124,125,125,125,0,1764984219.7002091
127,125,125,125,125,125,125,125,0,1764984219.7002115
127,125,125,125,125,125,125,125,0,1764984219.7002137
127,125,125,125,124,125,125,125,0,1764984219.7002158
127,125,125,125,124,125,125,125,0,1764984219.7002182
127,125,125,125,123,125,125,125,0,1764984219.7002208
126,125,125,125,124,125,124,125,0,1764984219.7002234
126,125,125,125,125,125,125,125,0,1764984219.7002258
126,125,125,125,125,125,125,125,0,1764984219.7002282
126,125,125,125,126,125,125,125,0,1764984219.7002304
126,125,125,124,127,125,125,125,0,1764984219.7002327
126,125,125,125,126,125,125,125,0,1764984219.7203932
126,125,125,125,126,125,125,125,0,1764984219.7203994
126,125,125,125,125,125,125,125,0,1764984219.7204018
126,125,125,125,124,125,125,125,0,1764984219.7204037
126,125,125,125,123,125,125,125,0,1764984219.720406
127,125,125,125,123,125,125,125,0,1764984219.7204082
126,125,125,125,123,125,125,125,0,1764984219.7204103
126,125,125,125,123,125,125,125,0,1764984219.7204127
126,125,125,125,123,125,125,125,0,1764984219.7204149
126,125,125,125,123,125,125,125,0,1764984219.7204173
126,124,125,125,123,125,125,125,0,1764984219.7204194
126,125,125,125,124,125,125,126,0,1764984219.7204213
126,125,125,125,125,125,125,126,0,1764984219.7204237
126,125,125,125,125,125,125,126,0,1764984219.720426
126,125,125,125,125,125,125,125,0,1764984219.720428
127,125,125,125,126,125,125,125,0,1764984219.7204385
126,125,125,125,126,125,125,125,0,1764984219.770844
126,124,124,125,125,125,124,125,0,1764984219.7708483
126,124,124,125,124,125,124,124,0,1764984219.770851
126,124,124,125,123,124,125,124,0,1764984219.770853
126,124,124,124,122,124,125,125,0,1764984219.7708554
126,125,125,124,123,125,125,125,0,1764984219.7708578
127,125,125,124,124,125,125,125,0,1764984219.7708597
127,125,125,124,125,125,125,125,0,1764984219.7708623
127,125,125,124,126,125,125,125,0,1764984219.7708645
126,125,125,124,126,125,125,125,0,1764984219.7708666
126,125,125,125,125,125,125,125,0,1764984219.7708688
126,125,125,125,125,125,125,125,0,1764984219.770871
126,125,125,125,124,125,125,125,0,1764984219.7708776
126,125,125,125,124,125,125,125,0,1764984219.77088
126,125,125,125,124,125,125,125,0,1764984219.7708824
126,125,125,125,124,125,125,125,0,1764984219.7708855
127,125,125,125,123,125,125,125,0,1764984219.7910426
127,125,125,125,123,125,125,125,0,1764984219.7910454
126,125,125,125,124,125,125,125,0,1764984219.7910476
126,125,125,125,124,125,125,125,0,1764984219.791054
126,125,125,125,125,125,125,125,0,1764984219.7910564
126,125,125,125,126,125,125,125,0,1764984219.791059
126,125,125,125,127,125,125,125,0,1764984219.7910612
126,125,125,125,127,125,124,125,0,1764984219.7910635
126,125,125,124,126,125,124,125,0,1764984219.791066
126,125,124,124,126,125,125,125,0,1764984219.791068
126,124,124,125,125,125,125,125,0,1764984219.7910702
126,124,124,125,125,125,125,125,0,1764984219.7910726
127,125,125,125,124,125,125,125,0,1764984219.7910748
127,125,125,126,125,125,125,125,0,1764984219.7910771
127,125,125,126,125,125,125,125,0,1764984219.7910795
127,125,125,125,124,125,125,125,0,1764984219.7910817
127,125,125,125,124,125,125,125,0,1764984219.8416195
126,125,125,125,125,125,125,125,0,1764984219.841624
126,125,125,124,124,125,125,125,0,1764984219.8416324
126,124,125,124,124,125,124,125,0,1764984219.841635
126,125,125,124,124,125,124,125,0,1764984219.8416378
126,125,125,124,123,125,124,125,0,1764984219.8416467
126,125,125,125,124,125,125,125,0,1764984219.8416493
126,125,125,125,125,125,125,125,0,1764984219.8416524
127,125,125,125,126,125,125,125,0,1764984219.8416624
127,125,125,125,126,125,125,125,0,1764984219.841665
127,125,125,125,127,125,125,125,0,1764984219.8416677
127,125,125,125,126,125,125,125,0,1764984219.841673
126,125,125,125,124,125,124,125,0,1764984219.8416753
126,125,125,124,124,125,124,125,0,1764984219.8416777
126,125,125,125,123,124,124,125,0,1764984219.84168
126,125,125,125,123,124,124,125,0,1764984219.8416865
126,125,125,125,122,125,124,125,0,1764984219.8620079
126,125,125,125,123,125,125,125,0,1764984219.8620121
126,125,125,125,123,125,125,125,0,1764984219.8620205
126,125,125,125,124,125,125,125,0,1764984219.8620234
126,125,125,125,124,125,125,125,0,1764984219.862026
126,125,125,125,124,125,125,125,0,1764984219.8620284
126,125,125,125,124,125,125,125,0,1764984219.8620307
126,125,125,125,123,125,125,125,0,1764984219.8620331
126,125,125,125,123,125,125,125,0,1764984219.8620358
126,124,125,125,123,125,125,125,0,1764984219.8620384
126,124,125,125,124,125,125,125,0,1764984219.8620405
126,124,125,125,125,125,125,125,0,1764984219.8620427
127,125,125,125,127,125,125,125,0,1764984219.8620448
126,125,125,125,127,125,125,125,0,1764984219.8620472
126,125,125,125,128,125,125,125,0,1764984219.8620493
126,125,125,125,128,125,125,125,0,1764984219.8620517
126,125,125,125,127,125,125,125,0,1764984219.9025161
126,125,125,125,126,125,125,125,0,1764984219.9025204
126,125,124,125,125,125,124,125,0,1764984219.9025228
126,125,124,124,124,125,124,125,0,1764984219.9025252
126,125,124,125,124,125,124,125,0,1764984219.9025276
126,125,125,125,124,125,124,125,0,1764984219.9025297
126,125,125,125,124,125,124,125,0,1764984219.902532
127,125,125,125,124,125,125,125,0,1764984219.9025345
127,125,125,124,124,125,125,125,0,1764984219.9025364
127,125,125,124,124,125,125,125,0,1764984219.9025388
126,125,125,124,125,125,125,125,0,1764984219.9025412
126,125,125,125,124,125,125,125,0,1764984219.9025428
126,125,124,125,124,125,124,125,0,1764984219.9025452
126,124,124,125,124,125,124,125,0,1764984219.9025474
126,124,124,125,124,125,125,125,0,1764984219.9025545
126,125,125,125,123,125,125,125,0,1764984219.9025571
126,125,125,125,124,125,125,125,0,1764984219.9228797
127,125,125,125,124,125,125,125,0,1764984219.9228845
127,125,125,125,125,125,125,125,0,1764984219.9228868
127,125,125,125,124,125,125,125,0,1764984219.9228897
127,125,125,125,124,125,125,125,0,1764984219.9228923
127,125,125,125,124,125,125,125,0,1764984219.922895
127,125,125,125,124,125,125,125,0,1764984219.922897
126,125,125,125,124,125,124,125,0,1764984219.9228997
126,125,125,124,123,125,125,125,0,1764984219.922902
126,125,125,125,123,125,125,125,0,1764984219.9229045
126,125,125,125,124,125,125,125,0,1764984219.9229069
126,125,125,125,123,125,125,125,0,1764984219.9229093
127,125,125,125,124,125,125,125,0,1764984219.9229114
127,125,125,125,124,125,125,125,0,1764984219.9229136
127,125,125,125,125,125,125,125,0,1764984219.922916
